model,task,metric,value,resampled
RandomForestRegressor,price_prediction,MSE,331.4377972343487,no
GradientBoostingRegressor,price_prediction,MSE,159.99411186864737,no
LinearRegression,price_prediction,MSE,823.4298870312963,no
XGBRegressor,price_prediction,MSE,227.1081411964072,no
RandomForestClassifier,trend_prediction,Accuracy,0.8695652173913043,no
RandomForestClassifier,trend_prediction,F1-score,0.0,no
RandomForestClassifier,trend_prediction,Recall,0.0,no
RandomForestClassifier,trend_prediction,Accuracy,0.8695652173913043,yes
RandomForestClassifier,trend_prediction,F1-score,0.0,yes
RandomForestClassifier,trend_prediction,Recall,0.0,yes
GradientBoostingClassifier,trend_prediction,Accuracy,0.782608695652174,no
GradientBoostingClassifier,trend_prediction,F1-score,0.0,no
GradientBoostingClassifier,trend_prediction,Recall,0.0,no
GradientBoostingClassifier,trend_prediction,Accuracy,0.8695652173913043,yes
GradientBoostingClassifier,trend_prediction,F1-score,0.0,yes
GradientBoostingClassifier,trend_prediction,Recall,0.0,yes
LogisticRegression,trend_prediction,Accuracy,0.8695652173913043,no
LogisticRegression,trend_prediction,F1-score,0.0,no
LogisticRegression,trend_prediction,Recall,0.0,no
LogisticRegression,trend_prediction,Accuracy,0.21739130434782608,yes
LogisticRegression,trend_prediction,F1-score,0.1,yes
LogisticRegression,trend_prediction,Recall,0.3333333333333333,yes
XGBClassifier,trend_prediction,Accuracy,0.8695652173913043,no
XGBClassifier,trend_prediction,F1-score,0.0,no
XGBClassifier,trend_prediction,Recall,0.0,no
XGBClassifier,trend_prediction,Accuracy,0.8695652173913043,yes
XGBClassifier,trend_prediction,F1-score,0.0,yes
XGBClassifier,trend_prediction,Recall,0.0,yes
BalancedRandomForestClassifier,trend_prediction,Accuracy,0.782608695652174,no
BalancedRandomForestClassifier,trend_prediction,F1-score,0.0,no
BalancedRandomForestClassifier,trend_prediction,Recall,0.0,no
BalancedRandomForestClassifier,trend_prediction,Accuracy,0.8695652173913043,yes
BalancedRandomForestClassifier,trend_prediction,F1-score,0.0,yes
BalancedRandomForestClassifier,trend_prediction,Recall,0.0,yes
